brand_id	brand_name

13423	SPATEN
18318	COLUMBIA WINERY
7390	MOSS ROXX
20596	MARETTI
15506	REVIVA
14460	DR. PRAEGER'S
4421	MARILYN MERLOT
22015	CIGAR CITY
6417	GAMBLER
7840	ECKRICH
6777	MELETTI
20581	COLBITZER
23109	BLIT ZUM
10549	BABY KING
5918	HOME MAKER
13380	VILLITA
25427	FARMER DIRECT ORGANICS
12137	CERETTO
25118	SUNSWEET PLUM SWEETS AMAZIN PRUNES
22727	JIM'S
1991	FATWOOD
9514	THE CANDY PLACE
19174	KOOL'N FUN & DONG GUAN
18691	REALEMON
25540	WOODINVILLE WHISKEY CO.
1123	TOTAL MARKETING COMPANY
11420	GLEEN
20379	UNCLE WALLY'S
11432	RIENZI
967	RIESEN
9030	BYRNES & KIEFER COMPANY
17643	CAMPOBASSO
7008	GPC
26122	BROOKLYN CURED
5975	COLBY RED
9149	VON STRASSER
7514	HUGL
23689	CAPPONE
5606	DIOSA
22659	AMERICAN FLORAL EXCHANGE
17167	BLUEGRASS
18835	BETSEY JOHNSON
21424	BRAVAZZI
15764	FINISHING TOUCH
9458	USA
11228	PROHENS
1481	CHELAN FRESH MARKETING
25272	TEN
5066	PARIS BUSINESS PRODUCTS
18119	BENECOL
2711	BEARBOAT
12925	BAKIN' MIRACLE
6269	SUNKIST GREEN BEE
2191	DEPOE BAY
18168	HNWS & MOO THNDR & PORKSLAP & SNPRHEAD
7034	VINALBA
5620	SCOOTER CRUNCH
17303	THE DOT
15175	FAN TAPE
24012	MARC ANGELO
5489	HUMCO
1116	SOUTHERN SWEET
24157	PLUS CBD OIL
12698	SNAUSAGES
4091	PLANETA
26115	SEAFOOD MARKET
15657	LITTLE REMEDIES
22827	INSTCAFE
21372	CAMILLE ROSE
9553	GARNET
16940	HOP HEAD
8401	GOODNESS GARDENS
19494	MILKBOY
410	CALICO JACK
24241	DISTINCTIVE FLORAL
25055	VANGUARD FRESH
8792	POP ART
3578	PRETZEL PETE
12693	BIG HOUSE
19417	SEAGLASS
23173	VINEDO DE LOS VIENTOS
10502	I.C. LIGHT
10378	FOUR VINES
19697	LAMB WESTON
25503	AMERICAN FOODS GROUP
8736	GOOD TIMES
22740	FUNDELINA
24352	PRADO REY
23564	SWEET CHEEKS
5599	CHECKERS RALLY'S FAMOUS FRIES
14225	SCHICK HYDRO 5 & ENERGIZER MAX
7994	SOUTH GEORGIA PECAN CO
22526	NABISCO & KRAFT
17316	LA FACE CACHEE DE LA POMME
17115	TASTY BITE
13583	FOSTER FARMS
5858	CLINT'S
25532	SHOTTYS
8956	GARNIER
23750	B.Y.E.
13060	ENDUST
16557	LIFESTYLE ESSENTIALS
2255	GOVINO
15116	BIO ALLERS
3707	NEKTAR HONEY CRYSTALS
11229	TOURNON
13384	ROYAL FLAVOR
13217	ARMOUR STAR
8500	SWEETWATER
16540	EMMA
3121	JAMESTOWN BRAND
24984	COLGATE OPTIC WHITE SPARKLING WHITE
18256	ARBUCKLE'S
15882	G-U-M
6941	TAMPAX PEARL PLASTIC & ALWAYS
15720	CHADDSFORD
8550	CALIFORNIA
20499	PLENTY
20437	ISIGNY STE MERE
25899	CINCORO
615	OLD NEW ENGLAND
10330	FREEDOM FLASHLIGHT
2144	TWIST & POUT
16715	DOMAINE DU TARIQUET
11391	VLADIMIR
6997	PAINT VALLEY FARMS
13804	COCO
23045	MOUTH KOTE
23453	HALLU
4832	CITRUS ZINGER
3860	STAR LITE CUISINE
2470	BARRIE HOUSE
17565	LETTIERI'S
10183	BEST BOY
614	SOUTHERN STYLE NUTS
9955	BARNANA
3562	COOKIN' GOOD
13015	TINA'S
4455	MODENACETI
16593	TERRA ROSA
8355	PALERMO
2424	ROARING BROOK DAIRY
14650	ESSENTIAL OXYGEN
9961	PRO TINGS
24815	GROUNDSWELL
4307	SPRING RIVER FARMS
16404	TELLON INVESTMENT AND TRADE
18023	WHITE OWL
21413	FLORENTINE
13483	KADOYA
8574	EUREKA! SEEDS THE DAY
3740	UNI PRO
10135	TONGUE BOMB
16923	AURO
7085	DIETWORKS
17710	ACQUA DI GIO
16319	EVO HEMP
4984	OPBI
6008	CASHEW DREAM
9502	AZO
926	PRODIGY
18301	TUMARO'S
21682	NATIVE
15212	GARDEN CLASSICS
9755	RESOURCEFUL PRODUCTS
13827	PEELED
11931	MRS. LEEPER'S
10013	S' BETTER FARMS
21298	WES PAK SALES
10761	MILKMAKERS
7030	BULL'S-EYE
18035	PRIMO BACIO
12164	CK
21573	UP 4
11117	ALFABERRIES
15341	ZONE PERFECT
1036	CHARLIE STAPLES
3690	ZOOM TV
26057	EMERALD CORP
22905	MUSO
26123	THE SAUCE SNOB
24093	KRUMBS KITCHEN
19430	HIME
15512	GRIFFON VAULT
20942	BRUGNANO
22121	LOVE CORN
11103	DASHA FRUT
6652	SUN & EARTH
12068	VAPOR X
4479	PAWSITIVELY GOURMET
10661	MUSCLE MILK
10307	GOOD KARMA
3580	VERI
9056	R COLLECTION
24675	EIGHT & SAND
9903	PEZ
7692	ZIG ZAG
22930	DESCHUTES BREWERY & BELL'S
7344	WOODSTOCK VANZILLA
16021	B B BATS
4444	SEA FARE PACIFIC
20323	SENSI-CARE
2545	ENZO
14906	PUSH POP
11762	BAM BIERE
23641	CHATEAU RECOUGNE
26081	SUN WEST FRUIT
6525	CIACCI PICCOLOMINI D'ARAGONA
20971	HOMEBREW
2820	PLUS PHARMA
17633	PETRUS
5563	LONGHORN
8666	SILVER TOTEM
2549	WORLD CONFECTIONS
20754	DELICE DE FRANCE
15346	TUACA
10812	MOSO
15131	SLINGSHOT
8339	MENINNO BROTHERS
21267	FIT TEA
4529	BENZAC
3537	DE TROCH
18172	CASAS DEL BOSQUE
15034	VILMART & CIE
1925	EDENSOY
25500	CHAMISUL
9007	RIPE TO YOU
12681	KINGDOM FRESH FARMS
18661	FESS PARKER
5995	USHER'S
12880	STRATUS PHARMACEUTICALS
7985	ST. BERNARDUS
21325	BE MIXED
4208	CRAFTHOUSE
11571	JUST PURE FOODS
6087	OXY SPOT
2655	BOB'S RED MILL
16481	JOHNNY APPLESEED
24175	BUG PROTECTOR
25243	EARTH MAMA
9779	LOLITA
13092	AMA FRUITS
9307	V I P
4148	AMMENS
22208	SWEET LOREN'S
10348	BUTLER
17911	SANTA EMA
6529	HAGAFEN
25994	VAN LEEUWEN
25916	SCOSCHE
3907	CHLOE
3950	PRESTIGE
6328	RAWHIDE COFFEE
13088	NEW-SKIN
13924	CENTRAL WEST PRODUCE
18765	MENDOZA VINEYARDS
13830	VILLA MONTECASTELLO
9083	TARIMA
14261	PRIZE
3269	CELESTIAL TEAHOUSE
13498	GOLDRUSH
20353	SIMPLY SENSIBLE
21715	THE COUNSELOR
1563	THANK YOU
11168	INIT
22052	WHOLESOME
20836	LIFE AID
25337	SIMPLY ALMOND
3350	ENTWINE
16153	THE ORIGINAL CRAZY FOAM
1706	DOTZA
1248	FRENCH LICK
23584	LORD BYRON'S APIARY
23107	CASTLE KITCHEN
5288	RED APPLE CHEESE
12755	TALK O TEXAS
14868	REVEL STOKE
618	CLOS DU VAL
10991	UPTON'S NATURALS
19020	TREND
7522	DASHFIRE
13803	RICE FRUIT
2427	HEINZ
5324	ARG MANUFACTURING
25902	G' VINE NOUAISON
25425	SNO-CAPS
14394	HAK'S BBQ SAUCE
23182	THE MIGRATORS
16447	PROTOCOLO
13387	RARE RED
17185	BALCONI
15383	NICKLES
15119	NATRA-BIO
6884	MIRAVAL
18522	COLOMA
18212	CHORE BOY
25946	CHOCOLOVE XO
17658	THE BREW KETTLE
24660	NATURE'S FLAVORS
8058	ACCENTS
2750	CAR MEN AIR
10082	HEART OF TEA
24769	SANTA BARBARA SMOKEHOUSE
4139	TRUE FABRICATIONS
13388	BOUNTY
23769	STICKO
3711	GOOD COOK
19372	NEILMED
11266	MAMMA DI SALVO'S
25229	3125 ZUM
10066	ECHOLS
8325	PEPPERWOOD GROVE
15342	LUNAE
17779	ODENSE
25157	COOK'S PANTRY
7429	PIMM'S
7124	5 REYES
23963	AWESOME
1252	GLOBAL DECOR
16567	HUMAN GEAR GO CUP
18558	GRILLERZ
14813	SANTA FE
12166	YOGA
3947	SPA ROOM
17672	BUCK WILD
15871	BARON DES CHARTRONS
4705	JUICY GEMS
13448	SAMSILL
5817	OLIVERIO
13772	RIVERS EDGE
8976	CLAIROL
12519	EQUAL EXCHANGE
8875	HILL'S IMPORTS
1432	STRAIGHT SEXY HAIR
12717	SPA...AH
608	LAX & MANDEL
22093	BOBO'S
10919	CHLORASEPTIC
20466	DRAGON'S BREATH
508	POWERADE
23042	CRISS CROSS
17376	DUCHESSE DE BOURGOGNE
13007	ONCOVITE
4245	SUGAT
13584	FAR NIENTE
18114	SWEET PETITES
11231	SACLA'
912	DR. LOOSEN
9908	INTAK
20497	MINAMI NUTRITION MOR EPA
25489	NEW REALM BREWING COMPANY
8381	DISNEY BABY
8311	BRENT & SAM'S
17174	CANUS
24580	AVOLOV
11319	VALLEY OF THE MOON
6587	APOTHIC
17812	GOLDEN TASTE
23603	RITZ
25965	AROMAID
14375	AUGUST THOMSEN
9529	CITRUSAFE
25396	SOUR PATCH KIDS
4974	BARBED WIRE
10092	EFFEN & TAJIN
9089	PLATINUM 7X
23285	RIVERSIDE PAPER
2640	DUTCH BRAND
21273	TAFT'S BREWING COMPANY
24324	ROSEWORLD
17980	URBAN CHESTNUT BREWING COMPANY
23126	GO AVO
16652	DRUM
17660	MONCHIERO
1306	OFF COLOR BREWING
21478	GAVOTTES
11113	SMARTY BRAND
13795	AUGUST KITCHEN J-BURGER
23165	POOCH SELFIE
18424	SCOTTIE
15315	NAIA
12735	JAX COCO
1132	LEARNING CURVE
815	OH BABY FOODS
11803	BRAWNY
4461	HUFFMAN FRUIT FARM
9238	GOOF OFF
14922	CONTE'S
25130	JAMES PAGE BREWING CO.
22910	SPORT WATER
11179	CHOCOLATE CHOCOLATE CHOCOLATE
10118	ERAL BRAVO
14603	HECHT & BANNIER
5101	ARAMINGO
8040	STONELEIGH
22943	AMARO DI ANGOSTURA
2660	LINWOODS
20666	CHAVOLLAS
5820	CALICHE
5421	DOMEX SUPERFRESH GROWERS
15758	RICE-A-RONI
18096	PERCOGESIC
18701	TREASURE MILLS SCHOOL SAFE
9952	ROUGH DRAFT BREWING COMPANY
11328	OXFORD 1.970
6554	HOME HEALTH
315	R.A.W. REAL AND WONDERFUL
5129	TELMA
3485	MONTE VICOR
15173	MONT MARCAL
15647	SWEET DARLING
8846	IRONSTONE
3256	EDWARDS BAKING
5815	CHALONE VINEYARD
4146	WILD THING
20872	DE PROEFBROUWERIJ & NEW GLARUS BRWNG CO.
8365	FAT HEAD'S
6988	FARMER'S GARDEN
17992	PORTADA
2495	RIGHT GIN
14096	DR. FRESH
23096	TWO GOOD
12119	TABLAS CREEK VINEYARD
23954	VINTAGE TIPPERARY CHEDDAR
50	CHOSEN FOODS
10324	ALAGA
4108	HEALTH-ADE
15399	EURO WARE
10179	SIMPLY DELISH
23060	ZUR GROUP
11491	BILINSKI'S
22517	LAYAL'S GOURMET SWEETS
16047	M E HEUCK
2552	BRIDESMAID
5910	ZUMBO KISS
25702	NUTS 'N MORE
6126	MARKETING RESULTS
132	FOWLER
17735	IT'S ACADEMIC
12462	CANTINE MASCHIO
18657	CLEE
8712	ARIZONA JACK'S
23078	MIMO
24409	SOURCE PURE
9835	DERMA SILK
12707	OBAN
11747	THOMAS'
22881	CATERED BOWL
12616	M.I.A. BEER COMPANY
5394	ROLD GOLD
25997	COLINA COLADA
25184	THD
17297	AMERICAN CANDLE
12706	PREDATOR
6281	DOLIN
20956	BAUER HAUS
26079	O-CEDAR PLAYTEX CLEAN CUISINE
20336	AO
16210	DEL MONTE SUNFRESH
25580	JAYONE FOODS
23443	DEXAS
7709	TAMARACK CELLARS
18160	LA FIERA
13396	ROUGHNECK
18975	ISALY'S
3395	MOP
713	ZOO MED
19539	MONT GRAVET
9500	DEER CREEK
11591	PREFERENCE
10152	CHATEAU DARTIGUES
21901	YOSEMITE FRESH
19961	TOP PAIR
19275	ON GOLD STANDARD
16678	SIPPER-SAURUS
15009	WESTERN SIZZLE
14437	OLD HOME KITCHENS
12920	BLUE POINT BREWING COMPANY
15180	HAROLD IMPORT COMPANY
22982	CRAZY FOAM
9863	LA AGUADA
18566	DINGO
16416	CSM BAKERY NORTH AMERICA
19111	X-14
21390	SHAFER TD-9
22657	JESSE'S
24618	FAGERBERG PRODUCE
3992	ROLL-O-MATIC
711	BAR HARBOR
23537	TRAVEL MATE
7703	TOMMY BAHAMA
12026	ULTRA SHEEN
6651	AMLACTIN
11356	ALDEN'S
11208	OSEM
23347	PARIS PRESENTS
4038	LUCINDA'S
8424	ELECTRIC MONKEY
18185	AUERPAK
13761	BEE SWEET
734	KAF-TAN
18597	BUCKEYE DISTILLERY
4851	OPEN PIT
19036	NATURE'S ALCHEMY
12177	URTHEL
3993	GARDENS GEMS
13142	PIXY STIX
25189	ASTRONAUT
3412	HOMERE CLEMENT
19060	MARTINEZ FARMS
140	STOUFFER'S
9205	MONISTAT 1
18039	AMNON'S
13397	HOOVER
20356	AWNING ESTATE
160	CHERRY PIE
2063	BRIOSCHI
8900	GEKKEIKAN
6641	OBERON
1089	MEZCAL VAGO
5473	FERRO-SEQUELS
10402	OMMEGANG
13883	IN ZONE
24358	SUPER KING
24507	GOBBL'N GRAPES
25461	HOMEGROWN
7991	MY PREMIER
42	RENZO MASI
24559	MATI
21459	KOLORAE
1722	MASON ST. BAKEHOUSE
8082	DON'S CHUCK WAGON
24749	OH K!
6858	DESPICABLE ME 2
13989	PREGGIE POPS
10552	AMERICIAN FARMER
14720	MURPHY
9107	SAFIES
18117	KENCRAFT
5054	RUBIN VINIAK
19774	ESSENTIAL LIVING FOODS
11152	HAK'S PAKS
8179	FOODOLOGY
8955	BOUNCE
20989	GOURMET AWARD
18481	COLEMAN
19785	SIMPLE SOLUTION
14768	FIXODENT
12625	SABRA
4133	SKIPPY
5295	BEN'S
1039	BAM NOIRE
10238	CLIO
14665	VAGISIL
26032	UNEARTHED
