manufacturer_id	manufacturer_name

4400	TWO FAT GUYS
3116	THE OHIO RELISH COMPANY LLC
8183	B.S.A. INTERNATIONAL S.A.
131	PATTI'S GOOD LIFE INC
8002	BLUE HILL FARM
10804	HOSTA INTERNATIONAL AG
1518	JOHNNY'S ENTERPRISES INC
5414	ROYAL DSM N.V.
9764	THE PRODUCE EXCHANGE, INC.
3240	MY SKINNY FOODS
5327	AMISH ORIGINS LLC
12793	IMG CITRUS INC
7561	SUN WORLD INTERNATIONAL LLC
7474	HEATH OUTDOOR PRODUCTS
9300	PREMIER INNOVATIONS GROUP INC
12688	BIONADE GMBH
4154	RUSTIC BAKERY
8496	RL INDUSTRY COMPANY LIMITED
3002	LACLEDE INC
3406	LOUIS GLUNZ INC
10450	CARRIAGE HOUSE IMPORTS LTD
7184	GERRIT J VERBURG CO
9364	ENOS & RHODA BYLER
6249	ANTICA NAPA VALLEY
7889	FISH BREWING COMPANY
982	OLD WORLD INDUSTRIES, INC.
2699	AGUA ENERVIVA LLC
9325	CATALYST PARTNERS LLC
12628	GL 360 LLC
1383	TINY BUT MIGHTY FOODS
12004	SIERRA SAGE LLC
12885	THE WILD BONE COMPANY
4005	HOP CITY BREWING CO
13159	STUFFED FOODS LLC
2797	NEW FRONTIER FOODS INC.
7254	WILD SQUIRREL NUT BUTTER
9316	TWS MARKETING GROUP, INC.
1970	BRECKENRIDGE DISTILLERY
9791	BARDWIL INDUSTRIES INC
7318	MIKE-SELL'S INC.
8420	BUEHLER VINEYARDS, INC.
7515	STEMILT GROWERS LLC
10108	DR. WOODS PRODUCTS
12142	TAMPA BAY WHOLESALE FOLIAGE
6466	LANGE WINERY
6664	THE HAMPSTEAD TEA & COFFEE CO
10417	WASHINGTON VINTNERS LLC
11945	FODY FOOD CO
7688	BETSY ANN CANDIES INC
6329	CHOCOLATES VALOR S.A.
2660	AQUITAINE WINE COMPANY
11642	DARK CORNER DISTILLERY LLC
1000	J & D'S DOWN HOME ENTERPRISES LLC
12722	ARTEMIANA INTERNATIONAL, INC
13191	JOINTOWN MEDICAL DEVICES GROUP CO
9648	MCMANIS FAMILY VINEYARDS INC
12343	THE HAPPY EGG CO
11072	SILVERVASE
7229	L AND S PACKING CO INC
10283	DR. B'S BEVERAGES LLC
1252	AGRI-MARK INC
7681	TF SILLY GOOD
10249	ARNOLD FOOD PRODUCTS INC
1464	NATIVE AMERICAN NATURAL FOODS LLC
9399	SONOMA GOURMET
8557	NATURESTAR FOODS INC.
7544	LORANN OILS INC.
3725	DOUG WALCHER FARMS
9059	SIMILASAN CORP.
10756	MISPILLION RIVER BREWING
8710	SPRING HOUSE BREWING COMPANY
10751	AVERAEN WINES
7479	BAKER MILLS
12588	TWELVE 5 BEVERAGE CO LLC
9788	ARAN CANDY LTD
6052	JACK POUST & COMPANY INC
6338	ROOT'S POULTRY INC
8740	GIORGIO COOKIE COMPANY
7353	HOUSE FOODS CORPORATION
12382	A.M.S. EXOTIC LLC
9735	VIGNOBLES LVDH USA
5530	FORTUNES GOURMET COFFEE
8341	JEANJEAN GROUP
7025	GLUE DOTS INTERNATIONAL LLC
7170	TRENDS INTERNATIONAL CORPORATION
8520	GAY LEA FOODS CO-OPERATIVE LMTD
8507	CARSON'S BREWERY
327	AKIN & PORTER
8423	LENNOX INTERNATIONAL, INC., THE
10912	H&A FARMS
8627	TFM INDUSTRIES
1317	PERIODIC WINERY
8328	VILLAGE CANDLE INC
3241	LUCKY DRINK CO
156	CERES FRUIT JUICES LTD
497	GOOD CLEAN LOVE INC
4730	AMBROSIA INC
2819	VISION PACK BRANDS INC
421	BAGLIO DI PIANETTO SRL
6746	AURORA PRODUCTS INC
4775	ORGANIC BY NATURE INC
12645	PALM WINE HOLDINGS LLC
8048	MICHAEL DAVID VINEYARDS
10331	BONIPAK PRODUCE INC
2238	FERRARI SPA
2235	QUE PASA MEXICAN FOODS
3898	KAIA FOODS
2438	BUCKLEY PETS
5964	SELMA GOOD COMPANY LLC
3234	NORTHERN RESPONSE INTERNATIONAL LTD.
1737	COFFEE HOLDING CO INC
12436	SULLIVAN'S USA
6956	ISLAND SNACKS INC
8025	BLACK-N-GOLD CHEESECAKE COMPANY
8555	PERFECT MEALS LLC
10835	STEEL CUP COFFEE ROASTERS LLC
10724	MID WEST HOMES FOR PETS
4276	BOERICKE & TAFEL, INC.
7758	THERMOR LTD
9960	MEGABERRYES S.A. DE C.V.
12590	A SHOC BEVERAGE LLC
5406	HUMDINGER CO.
7563	SLADE GORTON & CO INC
11468	MODERN AIDS INC.
11827	GLENSTAL FOODS LTD
4898	CALAVO GROWERS INC
8238	TRIDENT SEAFOODS CORP
2447	HOFBRAHAUS OF AMERICA LLC
12401	6 MILE CELLARS
10840	SILVER THREAD VINEYARD LLC
2697	GREENFIELD NOODLE CO.
3568	CRINKLAW FARMS
1048	TODDCO LLC
2495	SPILKE'S BAKING CO INC
561	IT'S ACADEMIC OF ILLINOIS INC
6617	KOEZE COMPANY
11324	HIRO SAKE USA
1594	ALL SPICE CAFE
1777	DANCING TREE DISTILLERY
4089	MISSION KITCHEN LTD
12619	DANCING CROW VINEYARDS
6768	TRADITIONAL MEDICINALS, INC.
5124	SANTA BARBARA OLIVE CO. INC.
5480	COSTANZO'S BAKERY INC
6211	SABLE & ROSENFELD FOODS LTD
